Text,Category
"I need a refund for order 4500",Billing
"App crashes when I click export button",Technical
"Cannot reset my password",Account
"Please add dark mode",Feature Request
"What are your business hours",General
"Payment failed and I was charged twice",Billing
"The website is down and showing an error",Technical
"My account is locked",Account
"I want a feature to export reports",Feature Request
"How can I contact support",General
"Invoice has the wrong amount",Billing
"Login failed with a server bug",Technical
"I need to update my email profile",Account
"Please improve the dashboard filters",Feature Request
"I have a question about your service",General
"My card was billed after cancellation",Billing
"The page is slow and broken",Technical
"Sign in keeps rejecting my password",Account
"Can you add bulk ticket actions",Feature Request
"Please send me more information",General
"The paid plan price looks incorrect",Billing
"Export feature crashed immediately",Technical
"Account verification link expired",Account
"Feature request for custom notifications",Feature Request
"Where can I find help documentation",General
"I need a refund for order 4525",Billing
"App crashes when I click export button",Technical
"Cannot reset my password",Account
"Please add dark mode",Feature Request
"What are your business hours",General
"Payment failed and I was charged twice",Billing
"The website is down and showing an error",Technical
"My account is locked",Account
"I want a feature to export reports",Feature Request
"How can I contact support",General
"Invoice has the wrong amount",Billing
"Login failed with a server bug",Technical
"I need to update my email profile",Account
"Please improve the dashboard filters",Feature Request
"I have a question about your service",General
"My card was billed after cancellation",Billing
"The page is slow and broken",Technical
"Sign in keeps rejecting my password",Account
"Can you add bulk ticket actions",Feature Request
"Please send me more information",General
"The paid plan price looks incorrect",Billing
"Export feature crashed immediately",Technical
"Account verification link expired",Account
"Feature request for custom notifications",Feature Request
"Where can I find help documentation",General
"I need a refund for order 4550",Billing
"App crashes when I click export button",Technical
"Cannot reset my password",Account
"Please add dark mode",Feature Request
"What are your business hours",General
"Payment failed and I was charged twice",Billing
"The website is down and showing an error",Technical
"My account is locked",Account
"I want a feature to export reports",Feature Request
"How can I contact support",General
"Invoice has the wrong amount",Billing
"Login failed with a server bug",Technical
"I need to update my email profile",Account
"Please improve the dashboard filters",Feature Request
"I have a question about your service",General
"My card was billed after cancellation",Billing
"The page is slow and broken",Technical
"Sign in keeps rejecting my password",Account
"Can you add bulk ticket actions",Feature Request
"Please send me more information",General
"The paid plan price looks incorrect",Billing
"Export feature crashed immediately",Technical
"Account verification link expired",Account
"Feature request for custom notifications",Feature Request
"Where can I find help documentation",General
"I need a refund for order 4575",Billing
"App crashes when I click export button",Technical
"Cannot reset my password",Account
"Please add dark mode",Feature Request
"What are your business hours",General
"Payment failed and I was charged twice",Billing
"The website is down and showing an error",Technical
"My account is locked",Account
"I want a feature to export reports",Feature Request
"How can I contact support",General
"Invoice has the wrong amount",Billing
"Login failed with a server bug",Technical
"I need to update my email profile",Account
"Please improve the dashboard filters",Feature Request
"I have a question about your service",General
"My card was billed after cancellation",Billing
"The page is slow and broken",Technical
"Sign in keeps rejecting my password",Account
"Can you add bulk ticket actions",Feature Request
"Please send me more information",General
"The paid plan price looks incorrect",Billing
"Export feature crashed immediately",Technical
"Account verification link expired",Account
"Feature request for custom notifications",Feature Request
"Where can I find help documentation",General
"I need a refund for order 4600",Billing
"App crashes when I click export button",Technical
"Cannot reset my password",Account
"Please add dark mode",Feature Request
"What are your business hours",General
"Payment failed and I was charged twice",Billing
"The website is down and showing an error",Technical
"My account is locked",Account
"I want a feature to export reports",Feature Request
"How can I contact support",General
"Invoice has the wrong amount",Billing
"Login failed with a server bug",Technical
"I need to update my email profile",Account
"Please improve the dashboard filters",Feature Request
"I have a question about your service",General
"My card was billed after cancellation",Billing
"The page is slow and broken",Technical
"Sign in keeps rejecting my password",Account
"Can you add bulk ticket actions",Feature Request
"Please send me more information",General
"The paid plan price looks incorrect",Billing
"Export feature crashed immediately",Technical
"Account verification link expired",Account
"Feature request for custom notifications",Feature Request
"Where can I find help documentation",General
"I need a refund for order 4625",Billing
"App crashes when I click export button",Technical
"Cannot reset my password",Account
"Please add dark mode",Feature Request
"What are your business hours",General
"Payment failed and I was charged twice",Billing
"The website is down and showing an error",Technical
"My account is locked",Account
"I want a feature to export reports",Feature Request
"How can I contact support",General
"Invoice has the wrong amount",Billing
"Login failed with a server bug",Technical
"I need to update my email profile",Account
"Please improve the dashboard filters",Feature Request
"I have a question about your service",General
"My card was billed after cancellation",Billing
"The page is slow and broken",Technical
"Sign in keeps rejecting my password",Account
"Can you add bulk ticket actions",Feature Request
"Please send me more information",General
"The paid plan price looks incorrect",Billing
"Export feature crashed immediately",Technical
"Account verification link expired",Account
"Feature request for custom notifications",Feature Request
"Where can I find help documentation",General
"I need a refund for order 4650",Billing
"App crashes when I click export button",Technical
"Cannot reset my password",Account
"Please add dark mode",Feature Request
"What are your business hours",General
"Payment failed and I was charged twice",Billing
"The website is down and showing an error",Technical
"My account is locked",Account
"I want a feature to export reports",Feature Request
"How can I contact support",General
"Invoice has the wrong amount",Billing
"Login failed with a server bug",Technical
"I need to update my email profile",Account
"Please improve the dashboard filters",Feature Request
"I have a question about your service",General
"My card was billed after cancellation",Billing
"The page is slow and broken",Technical
"Sign in keeps rejecting my password",Account
"Can you add bulk ticket actions",Feature Request
"Please send me more information",General
"The paid plan price looks incorrect",Billing
"Export feature crashed immediately",Technical
"Account verification link expired",Account
"Feature request for custom notifications",Feature Request
"Where can I find help documentation",General
"I need a refund for order 4675",Billing
"App crashes when I click export button",Technical
"Cannot reset my password",Account
"Please add dark mode",Feature Request
"What are your business hours",General
"Payment failed and I was charged twice",Billing
"The website is down and showing an error",Technical
"My account is locked",Account
"I want a feature to export reports",Feature Request
"How can I contact support",General
"Invoice has the wrong amount",Billing
"Login failed with a server bug",Technical
"I need to update my email profile",Account
"Please improve the dashboard filters",Feature Request
"I have a question about your service",General
"My card was billed after cancellation",Billing
"The page is slow and broken",Technical
"Sign in keeps rejecting my password",Account
"Can you add bulk ticket actions",Feature Request
"Please send me more information",General
"The paid plan price looks incorrect",Billing
"Export feature crashed immediately",Technical
"Account verification link expired",Account
"Feature request for custom notifications",Feature Request
"Where can I find help documentation",General
"I need a refund for order 4700",Billing
"App crashes when I click export button",Technical
"Cannot reset my password",Account
"Please add dark mode",Feature Request
"What are your business hours",General
"Payment failed and I was charged twice",Billing
"The website is down and showing an error",Technical
"My account is locked",Account
"I want a feature to export reports",Feature Request
"How can I contact support",General
"Invoice has the wrong amount",Billing
"Login failed with a server bug",Technical
"I need to update my email profile",Account
"Please improve the dashboard filters",Feature Request
"I have a question about your service",General
"My card was billed after cancellation",Billing
"The page is slow and broken",Technical
"Sign in keeps rejecting my password",Account
"Can you add bulk ticket actions",Feature Request
"Please send me more information",General
"The paid plan price looks incorrect",Billing
"Export feature crashed immediately",Technical
"Account verification link expired",Account
"Feature request for custom notifications",Feature Request
"Where can I find help documentation",General
"I need a refund for order 4725",Billing
"App crashes when I click export button",Technical
"Cannot reset my password",Account
"Please add dark mode",Feature Request
"What are your business hours",General
"Payment failed and I was charged twice",Billing
"The website is down and showing an error",Technical
"My account is locked",Account
"I want a feature to export reports",Feature Request
"How can I contact support",General
"Invoice has the wrong amount",Billing
"Login failed with a server bug",Technical
"I need to update my email profile",Account
"Please improve the dashboard filters",Feature Request
"I have a question about your service",General
"My card was billed after cancellation",Billing
"The page is slow and broken",Technical
"Sign in keeps rejecting my password",Account
"Can you add bulk ticket actions",Feature Request
"Please send me more information",General
"The paid plan price looks incorrect",Billing
"Export feature crashed immediately",Technical
"Account verification link expired",Account
"Feature request for custom notifications",Feature Request
"Where can I find help documentation",General
"I need a refund for order 4750",Billing
"App crashes when I click export button",Technical
"Cannot reset my password",Account
"Please add dark mode",Feature Request
"What are your business hours",General
"Payment failed and I was charged twice",Billing
"The website is down and showing an error",Technical
"My account is locked",Account
"I want a feature to export reports",Feature Request
"How can I contact support",General
"Invoice has the wrong amount",Billing
"Login failed with a server bug",Technical
"I need to update my email profile",Account
"Please improve the dashboard filters",Feature Request
"I have a question about your service",General
"My card was billed after cancellation",Billing
"The page is slow and broken",Technical
"Sign in keeps rejecting my password",Account
"Can you add bulk ticket actions",Feature Request
"Please send me more information",General
"The paid plan price looks incorrect",Billing
"Export feature crashed immediately",Technical
"Account verification link expired",Account
"Feature request for custom notifications",Feature Request
"Where can I find help documentation",General
"I need a refund for order 4775",Billing
"App crashes when I click export button",Technical
"Cannot reset my password",Account
